Seed;Tesla;Musk;Gigafactory;Elon Mask;
https://en.wikipedia.org/wiki/Hypertelescope;0;0;0;0;0;
https://en.wikipedia.org/wiki/Sky_Polarization_Observatory;0;0;0;0;0;
https://en.wikipedia.org/wiki/LISA_Pathfinder;0;0;0;0;0;
https://en.wikipedia.org/wiki/High_Energy_Transient_Explorer;0;0;0;0;0;
https://en.wikipedia.org/wiki/BRITE;0;0;0;0;0;
https://en.wikipedia.org/wiki/Broad_Band_X-ray_Telescope;0;0;0;0;0;
https://en.wikipedia.org/wiki/Telescope_for_Habitable_Exoplanets_and_Interstellar/Intergalactic_Astronomy;0;0;0;0;0;
https://en.wikipedia.org/wiki/STEREO;0;0;0;0;0;
https://en.wikipedia.org/wiki/JAXA;0;0;0;0;0;
https://en.wikipedia.org/wiki/Light_dark_matter;0;0;0;0;0;
https://en.wikipedia.org/wiki/Hubble_Origins_Probe;0;0;0;0;0;
https://en.wikipedia.org/wiki/SPHEREx;0;0;0;0;0;
https://en.wikipedia.org/wiki/Orion_(space_telescope);0;0;0;0;0;
https://en.wikipedia.org/wiki/Solar_Dynamics_Observatory;0;0;0;0;0;
https://en.wikipedia.org/wiki/Midcourse_Space_Experiment;0;0;0;0;0;
https://en.wikipedia.org/wiki/CHIPSat;0;0;0;0;0;
https://en.wikipedia.org/wiki/Array_of_Low_Energy_X-ray_Imaging_Sensors;0;0;0;0;0;
https://en.wikipedia.org/wiki/ABRIXAS;0;0;0;0;0;
https://en.wikipedia.org/wiki/Advanced_Satellite_for_Cosmology_and_Astrophysics;0;0;0;0;0;
https://en.wikipedia.org/wiki/Small_Astronomy_Satellite_2;0;0;0;0;0;
https://en.wikipedia.org/wiki/PVLAS;0;0;0;0;0;
https://en.wikipedia.org/wiki/UniverseMachine;0;0;0;0;0;
https://en.wikipedia.org/wiki/Max_Valier_(satellite);0;0;0;0;0;
https://en.wikipedia.org/wiki/SIMPLE_(dark_matter_experiment);0;0;0;0;0;
https://en.wikipedia.org/wiki/Hot_dark_matter;0;0;0;0;0;
https://en.wikipedia.org/wiki/Warm_dark_matter;0;0;0;0;0;
https://en.wikipedia.org/wiki/Galaxy_formation_and_evolution;0;0;0;0;0;
https://en.wikipedia.org/wiki/PandaX;0;0;0;0;0;
https://en.wikipedia.org/wiki/Self-interacting_dark_matter;0;0;0;0;0;
https://en.wikipedia.org/wiki/Chandra_X-ray_Observatory;0;0;0;0;0;
https://en.wikipedia.org/wiki/Cosmic_ray;0;0;0;0;0;
https://en.wikipedia.org/wiki/LEGRI;0;0;0;0;0;
https://en.wikipedia.org/wiki/RELIKT-1;0;0;0;0;0;
https://en.wikipedia.org/wiki/China_Dark_Matter_Experiment;0;0;0;0;0;
https://en.wikipedia.org/wiki/Weak_gravitational_lensing;0;0;0;0;0;
https://en.wikipedia.org/wiki/LOFT;0;0;0;0;0;
https://en.wikipedia.org/wiki/Dark_photon;0;0;0;0;0;
https://en.wikipedia.org/wiki/List_of_X-ray_space_telescopes;0;0;0;0;0;
https://en.wikipedia.org/wiki/Solwind;0;0;0;0;0;
https://en.wikipedia.org/wiki/Optical_telescope;0;0;0;0;0;
https://en.wikipedia.org/wiki/Mixed_dark_matter;0;0;0;0;0;
https://en.wikipedia.org/wiki/HALCA;0;0;0;0;0;
https://en.wikipedia.org/wiki/2012_National_Reconnaissance_Office_space_telescope_donation_to_NASA;0;0;0;0;0;
https://en.wikipedia.org/wiki/NuSTAR;0;0;0;0;0;
https://en.wikipedia.org/wiki/OSO_5;0;0;0;0;0;
https://en.wikipedia.org/wiki/DAMA/LIBRA;0;0;0;0;0;
https://en.wikipedia.org/wiki/PMID_(identifier);0;0;0;0;0;
https://en.wikipedia.org/wiki/Joint_Dark_Energy_Mission;0;0;0;0;0;
https://en.wikipedia.org/wiki/Cosmic_Radiation_Satellite;0;0;0;0;0;
https://en.wikipedia.org/wiki/Hisaki_(satellite);0;0;0;0;0;
https://en.wikipedia.org/wiki/ArXiv_(identifier);0;0;0;0;0;
https://en.wikipedia.org/wiki/Massive_compact_halo_object;0;0;0;0;0;
